SoG,2.0
Windspeed,8.0
WindAngle,325
Heading,345
Latitude,43.9434354
Longitude,15.4286985
Windspeed,8.0
WindAngle,325
Heading,345
CoG,357
SoG,2.0
Windspeed,8.0
WindAngle,325
Heading,345
Latitude,43.9434371
Longitude,15.4286986
Windspeed,8.0
WindAngle,325
Heading,345
CoG,357
SoG,2.0
Latitude,43.9434386
Longitude,15.4286988
Depth,11.0
DepthOffset,-0.001
Windspeed,8.0
WindAngle,325
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
Heading,344
Heading,344
CoG,356
SoG,2.0
Windspeed,8.0
WindAngle,325
Heading,344
Latitude,43.9434405
Longitude,15.4286988
Windspeed,8.0
WindAngle,325
Heading,344
CoG,357
SoG,2.0
Windspeed,7.8
WindAngle,330
Heading,344
Windspeed,7.8
WindAngle,330
Heading,344
CoG,356
SoG,2.0
Windspeed,7.8
WindAngle,330
Heading,344
Windspeed,7.8
WindAngle,330
Heading,344
CoG,356
SoG,2.0
Windspeed,7.8
WindAngle,330
Heading,344
Latitude,43.9434455
Longitude,15.4286982
Windspeed,7.8
WindAngle,330
Heading,344
CoG,356
SoG,2.0
Depth,11.2
DepthOffset,-0.001
Windspeed,7.8
WindAngle,330
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
Heading,344
Windspeed,7.8
WindAngle,330
Heading,344
CoG,356
SoG,2.0
Heading,344
Windspeed,7.8
WindAngle,330
Heading,343
CoG,356
SoG,2.0
Latitude,43.9434512
Longitude,15.4286988
Heading,343
Windspeed,7.9
WindAngle,329
Heading,343
CoG,355
SoG,2.0
Latitude,43.9434531
Longitude,15.4286984
Windspeed,7.9
WindAngle,329
Heading,343
Windspeed,7.9
WindAngle,329
Heading,343
CoG,355
SoG,2.0
Windspeed,7.9
WindAngle,329
Heading,343
Latitude,43.9434548
Longitude,15.4286992
Heading,343
Depth,11.2
DepthOffset,-0.001
CoG,355
SoG,2.0
Windspeed,7.9
WindAngle,329
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
Heading,343
Windspeed,7.9
WindAngle,329
Latitude,43.9434566
Longitude,15.4286995
Heading,343
Windspeed,7.9
WindAngle,329
CoG,355
SoG,2.0
Heading,343
Windspeed,7.9
WindAngle,329
Heading,343
Windspeed,8.1
WindAngle,328
CoG,355
SoG,2.0
Heading,343
Windspeed,8.1
WindAngle,328
Heading,342
Windspeed,8.1
WindAngle,328
CoG,355
SoG,2.0
Heading,342
Windspeed,8.1
WindAngle,328
Heading,342
Windspeed,8.1
WindAngle,328
CoG,355
SoG,2.0
Heading,342
Windspeed,8.1
WindAngle,328
Heading,342
Depth,11.0
DepthOffset,-0.001
Windspeed,8.1
WindAngle,328
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
CoG,354
SoG,2.0
Heading,342
Windspeed,8.1
WindAngle,328
Heading,342
Windspeed,8.1
WindAngle,328
CoG,354
SoG,2.0
Heading,342
Windspeed,8.1
WindAngle,328
Heading,342
Windspeed,8.2
WindAngle,331
CoG,354
SoG,2.0
Latitude,43.9434694
Longitude,15.4286980
Heading,342
Windspeed,8.2
WindAngle,331
Heading,342
Windspeed,8.2
WindAngle,331
CoG,354
SoG,2.0
Latitude,43.9434713
Longitude,15.4286982
Heading,342
Windspeed,8.2
WindAngle,331
Heading,341
Windspeed,8.2
WindAngle,331
CoG,354
SoG,2.0
Heading,341
Windspeed,8.2
WindAngle,331
Heading,341
Depth,11.0
DepthOffset,-0.001
Windspeed,8.2
WindAngle,331
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
CoG,353
SoG,2.0
Latitude,43.9434744
Longitude,15.4286967
Heading,341
Windspeed,8.2
WindAngle,331
Heading,341
Windspeed,8.2
WindAngle,331
CoG,353
SoG,2.0
Heading,341
Windspeed,8.2
WindAngle,331
Latitude,43.9434764
Longitude,15.4286968
Heading,341
Windspeed,8.2
WindAngle,331
CoG,353
SoG,2.0
Heading,341
Windspeed,8.2
WindAngle,331
Heading,341
Windspeed,8.2
WindAngle,331
CoG,352
SoG,2.0
Heading,341
Windspeed,8.2
WindAngle,331
Heading,341
Windspeed,8.2
WindAngle,331
CoG,352
SoG,2.0
Heading,341
Windspeed,8.2
WindAngle,331
Heading,340
Depth,11.1
DepthOffset,-0.001
Windspeed,8.2
WindAngle,331
SpeedThroughWater,1.9
SoG,1273.9
Log,3971.30
CoG,352
SoG,1.9
Latitude,43.9434834
Longitude,15.4286953
Heading,340
Windspeed,8.2
WindAngle,331
Heading,340
Windspeed,8.2
WindAngle,331
CoG,351
SoG,1.9
Latitude,43.9434852
Longitude,15.4286955
Heading,340
Windspeed,8.2
WindAngle,331
Heading,340
Windspeed,8.1
WindAngle,332
CoG,351
SoG,1.9
Heading,340
Windspeed,8.1
WindAngle,332
Latitude,43.9434866
Longitude,15.4286955
Heading,340
Windspeed,8.1
WindAngle,332
CoG,351
SoG,1.9
Heading,340
Windspeed,8.1
WindAngle,332
Heading,340
Windspeed,8.1
WindAngle,332
CoG,351
SoG,1.9
Heading,340
Windspeed,8.1
WindAngle,332
Heading,340
Depth,11.3
DepthOffset,-0.001
Windspeed,8.1
WindAngle,332
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
CoG,350
SoG,1.9
Heading,340
Windspeed,8.1
WindAngle,332
Heading,339
Windspeed,8.1
WindAngle,332
CoG,350
SoG,1.9
Heading,339
Windspeed,8.1
WindAngle,332
Heading,339
Windspeed,8.0
WindAngle,331
CoG,351
SoG,1.9
Heading,339
Windspeed,8.0
WindAngle,331
Heading,339
Windspeed,8.0
WindAngle,331
CoG,351
SoG,1.9
Heading,339
Windspeed,8.0
WindAngle,331
Heading,339
Windspeed,8.0
WindAngle,331
CoG,351
SoG,1.9
Heading,339
Windspeed,8.0
WindAngle,331
Latitude,43.9434982
Longitude,15.4286949
Heading,339
Depth,11.3
DepthOffset,-0.001
Windspeed,8.0
WindAngle,331
SpeedThroughWater,1.8
SoG,1273.9
Log,3971.30
CoG,351
SoG,1.8
Heading,339
Windspeed,8.0
WindAngle,331
Latitude,43.9434998
Longitude,15.4286949
Heading,339
Windspeed,8.0
WindAngle,331
CoG,351
SoG,1.8
Heading,338
Windspeed,8.0
WindAngle,331
Heading,338
Windspeed,8.3
WindAngle,334
CoG,351
SoG,1.8
Heading,338
Windspeed,8.3
WindAngle,334
Latitude,43.9435032
Longitude,15.4286947
Heading,338
Windspeed,8.3
WindAngle,334
